epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.16718,1.0071,2.90701,1.28342,0.68269,0.83333,0.87504,0.63173,1.44444,1.38634,1.29431,0,0,0
2,8.90462,1.2769,3.14875,1.59105,0.82755,0.73172,0.87485,0.61411,1.46369,1.37996,1.29308,1.17822e-06,1.17822e-06,1.17822e-06
3,9.24957,1.27991,2.8495,1.54091,0.82635,0.73301,0.87488,0.6062,1.47879,1.40202,1.30158,2.33288e-06,2.33288e-06,2.33288e-06
4,9.73426,1.09395,2.67865,1.31272,0.83526,0.73738,0.87494,0.60229,1.49041,1.44078,1.3088,3.46397e-06,3.46397e-06,3.46397e-06
5,10.2507,1.13094,2.97486,1.51929,0.7598,0.75,0.87233,0.59212,1.55053,1.49918,1.34904,4.5715e-06,4.5715e-06,4.5715e-06
6,10.7957,1.11018,2.26344,1.36117,0.73788,0.75,0.88618,0.5877,1.56148,1.54913,1.35702,5.65548e-06,5.65548e-06,5.65548e-06
7,11.371,0.92461,2.4338,1.25815,0.72469,0.75,0.88436,0.57324,1.56398,1.59226,1.37067,6.71588e-06,6.71588e-06,6.71588e-06
8,11.9467,1.01775,2.73415,1.44453,0.71981,0.75,0.86587,0.57795,1.54819,1.62994,1.36323,7.75273e-06,7.75273e-06,7.75273e-06
9,12.5441,1.05072,2.14132,1.20902,0.73563,0.75,0.86588,0.56796,1.51461,1.65297,1.34806,8.76602e-06,8.76602e-06,8.76602e-06
10,13.0482,1.00103,2.37395,1.43262,0.76136,0.75,0.82972,0.56451,1.5073,1.68337,1.34296,9.75574e-06,9.75574e-06,9.75574e-06
11,13.5658,0.98498,2.01948,1.28859,0.77328,0.58333,0.74124,0.5558,1.50562,1.74377,1.34786,1.07219e-05,1.07219e-05,1.07219e-05
12,14.0904,1.11337,2.84786,1.42726,0.74744,0.75,0.74139,0.55802,1.50287,1.76069,1.34924,1.16645e-05,1.16645e-05,1.16645e-05
13,14.6082,1.50027,3.58953,1.73248,0.73381,0.58333,0.74222,0.53652,1.51628,1.81248,1.35362,1.25835e-05,1.25835e-05,1.25835e-05
14,15.1086,1.33847,3.55907,1.68236,0.75605,0.58333,0.74153,0.54667,1.51777,1.85975,1.35467,1.3479e-05,1.3479e-05,1.3479e-05
15,15.6381,0.86442,2.84786,1.29434,0.91928,0.37351,0.74215,0.547,1.53188,1.91531,1.36163,1.43509e-05,1.43509e-05,1.43509e-05
16,16.2025,1.06678,2.82893,1.42527,0.91819,0.37354,0.65951,0.48908,1.54385,1.91198,1.36688,1.51993e-05,1.51993e-05,1.51993e-05
17,16.7612,0.8498,1.95438,1.3183,0.91426,0.3728,0.65938,0.48223,1.54419,1.95279,1.36398,1.60241e-05,1.60241e-05,1.60241e-05
18,17.2434,1.24262,2.60637,1.65192,0.91426,0.3728,0.65938,0.48223,1.54419,1.95279,1.36398,1.68253e-05,1.68253e-05,1.68253e-05
19,17.774,0.75405,1.70114,1.19845,0.90752,0.37173,0.59713,0.45713,1.57407,2.0251,1.37867,1.7603e-05,1.7603e-05,1.7603e-05
20,18.3212,1.07679,2.20067,1.32872,0.90752,0.37173,0.59713,0.45713,1.57407,2.0251,1.37867,1.83571e-05,1.83571e-05,1.83571e-05
21,18.871,1.07833,1.91866,1.36503,0.91321,0.37256,0.59312,0.4505,1.58935,2.09393,1.38755,1.90876e-05,1.90876e-05,1.90876e-05
22,19.3637,0.93256,1.88411,1.33517,0.91321,0.37256,0.59312,0.4505,1.58935,2.09393,1.38755,1.97946e-05,1.97946e-05,1.97946e-05
23,19.8728,1.25581,2.47274,1.57825,0.91583,0.37309,0.59195,0.44912,1.61925,2.12823,1.39938,2.0478e-05,2.0478e-05,2.0478e-05
24,20.3846,0.91363,2.02791,1.41305,0.91583,0.37309,0.59195,0.44912,1.61925,2.12823,1.39938,2.11379e-05,2.11379e-05,2.11379e-05
25,20.9365,1.01146,1.233,1.39122,0.91676,0.37306,0.59974,0.44677,1.6518,2.15606,1.42553,2.17741e-05,2.17741e-05,2.17741e-05
26,21.4339,1.13212,2.27993,1.50253,0.91676,0.37306,0.59974,0.44677,1.6518,2.15606,1.42553,2.23869e-05,2.23869e-05,2.23869e-05
27,21.929,0.90282,1.61473,1.20264,0.9202,0.37338,0.57826,0.42899,1.69841,2.21295,1.47518,2.2976e-05,2.2976e-05,2.2976e-05
28,22.4063,0.8504,1.355,1.22951,0.9202,0.37338,0.57826,0.42899,1.69841,2.21295,1.47518,2.35417e-05,2.35417e-05,2.35417e-05
29,22.9229,0.83491,1.85979,1.29265,0.92207,0.37404,0.57826,0.42742,1.71897,2.22885,1.51471,2.40837e-05,2.40837e-05,2.40837e-05
30,23.4296,0.68955,1.1994,1.08825,0.92207,0.37404,0.57826,0.42742,1.71897,2.22885,1.51471,2.46022e-05,2.46022e-05,2.46022e-05
31,23.9352,0.8081,1.25994,1.1633,0.92123,0.37369,0.58166,0.41268,1.75451,2.27552,1.55239,2.50971e-05,2.50971e-05,2.50971e-05
32,24.4034,0.53116,0.96681,1.04819,0.92123,0.37369,0.58166,0.41268,1.75451,2.27552,1.55239,2.55685e-05,2.55685e-05,2.55685e-05
33,24.9417,0.9412,1.55727,1.30298,0.91989,0.37348,0.58184,0.41164,1.77322,2.34099,1.58733,2.60163e-05,2.60163e-05,2.60163e-05
34,25.4383,1.02504,1.38477,1.27035,0.91989,0.37348,0.58184,0.41164,1.77322,2.34099,1.58733,2.64405e-05,2.64405e-05,2.64405e-05
35,25.9305,0.77882,1.34072,1.18966,0.92389,0.37361,0.58114,0.41841,1.78799,2.37232,1.59952,2.68412e-05,2.68412e-05,2.68412e-05
36,26.402,0.98353,1.64278,1.4026,0.92389,0.37361,0.58114,0.41841,1.78799,2.37232,1.59952,2.72183e-05,2.72183e-05,2.72183e-05
37,26.9162,0.80567,1.00779,1.244,0.92257,0.3731,0.58059,0.4124,1.77596,2.4024,1.59933,2.75718e-05,2.75718e-05,2.75718e-05
38,27.536,0.81471,1.04393,1.21906,0.92257,0.3731,0.58059,0.4124,1.77596,2.4024,1.59933,2.79018e-05,2.79018e-05,2.79018e-05
39,28.1124,0.98054,1.38238,1.27629,0.92361,0.37302,0.58082,0.44423,1.77683,2.45225,1.59318,2.82082e-05,2.82082e-05,2.82082e-05
40,28.6297,0.66631,0.98732,1.14783,0.92361,0.37302,0.58082,0.44423,1.77683,2.45225,1.59318,2.84911e-05,2.84911e-05,2.84911e-05
41,29.1347,0.71088,1.16567,1.19816,0.92168,0.37281,0.49849,0.3858,1.80419,2.49988,1.61788,2.87504e-05,2.87504e-05,2.87504e-05
42,29.5912,0.52967,1.10771,1.13057,0.92168,0.37281,0.49849,0.3858,1.80419,2.49988,1.61788,2.89861e-05,2.89861e-05,2.89861e-05
43,30.0892,0.79052,1.00499,1.17521,0.91825,0.37235,0.49893,0.3874,1.79601,2.52414,1.6139,2.91983e-05,2.91983e-05,2.91983e-05
44,30.5682,0.77838,0.95917,1.08347,0.91825,0.37235,0.49893,0.3874,1.79601,2.52414,1.6139,2.93869e-05,2.93869e-05,2.93869e-05
45,31.0698,0.92447,1.45278,1.30768,0.91961,0.37192,0.4989,0.38727,1.76566,2.56879,1.58481,2.9552e-05,2.9552e-05,2.9552e-05
46,31.5553,0.60641,1.08786,1.18828,0.91961,0.37192,0.4989,0.38727,1.76566,2.56879,1.58481,2.96935e-05,2.96935e-05,2.96935e-05
47,32.1535,0.83249,1.24465,1.13354,0.91912,0.37175,0.49968,0.38726,1.72353,2.56182,1.54488,2.98114e-05,2.98114e-05,2.98114e-05
48,32.9613,0.87519,1.33541,1.28648,0.91912,0.37175,0.49968,0.38726,1.72353,2.56182,1.54488,2.99058e-05,2.99058e-05,2.99058e-05
49,33.5647,1.023,1.11972,1.24641,0.92603,0.37193,0.49985,0.38824,1.7696,2.56383,1.55648,2.99766e-05,2.99766e-05,2.99766e-05
50,34.1278,0.6999,1.11337,1.15479,0.92603,0.37193,0.49985,0.38824,1.7696,2.56383,1.55648,3.00238e-05,3.00238e-05,3.00238e-05
51,34.7064,1.03081,1.25261,1.33033,0.9338,0.37244,0.47298,0.36144,1.73549,2.47775,1.51638,3.00475e-05,3.00475e-05,3.00475e-05
52,35.2004,0.80311,1.16705,1.22891,0.9338,0.37244,0.47298,0.36144,1.73549,2.47775,1.51638,3.00476e-05,3.00476e-05,3.00476e-05
53,35.6798,0.71174,1.03723,1.08563,0.9338,0.37244,0.47298,0.36144,1.73549,2.47775,1.51638,3.00242e-05,3.00242e-05,3.00242e-05
54,36.1846,0.82281,0.81817,1.05688,0.94062,0.37203,0.47565,0.36829,1.71816,2.45143,1.50027,2.99772e-05,2.99772e-05,2.99772e-05
55,36.6897,0.64377,0.65891,1.04337,0.94062,0.37203,0.47565,0.36829,1.71816,2.45143,1.50027,2.99066e-05,2.99066e-05,2.99066e-05
56,37.1803,0.68927,0.82249,1.12205,0.94062,0.37203,0.47565,0.36829,1.71816,2.45143,1.50027,2.98125e-05,2.98125e-05,2.98125e-05
57,37.7084,0.60737,0.87566,1.18112,0.94637,0.37146,0.47392,0.36512,1.74457,2.50154,1.51193,2.96948e-05,2.96948e-05,2.96948e-05
58,38.2091,0.64547,0.66852,1.08599,0.94637,0.37146,0.47392,0.36512,1.74457,2.50154,1.51193,2.95535e-05,2.95535e-05,2.95535e-05
59,38.6894,0.72009,0.78339,1.07138,0.94637,0.37146,0.47392,0.36512,1.74457,2.50154,1.51193,2.93887e-05,2.93887e-05,2.93887e-05
60,39.2198,0.62346,0.94515,1.13791,0.96128,0.37289,0.41883,0.31152,1.77754,2.52705,1.5434,2.92003e-05,2.92003e-05,2.92003e-05
61,39.7334,0.69005,1.52162,1.17678,0.96128,0.37289,0.41883,0.31152,1.77754,2.52705,1.5434,2.89884e-05,2.89884e-05,2.89884e-05
62,40.2207,0.96623,0.95513,1.34497,0.96128,0.37289,0.41883,0.31152,1.77754,2.52705,1.5434,2.87529e-05,2.87529e-05,2.87529e-05
63,40.7361,0.99368,1.1009,1.38824,0.973,0.3868,0.42625,0.3155,1.75393,2.4291,1.51919,2.84938e-05,2.84938e-05,2.84938e-05
64,41.4285,0.71254,0.71898,1.09644,0.973,0.3868,0.42625,0.3155,1.75393,2.4291,1.51919,2.82112e-05,2.82112e-05,2.82112e-05
65,41.9357,0.75063,0.99425,1.14661,0.973,0.3868,0.42625,0.3155,1.75393,2.4291,1.51919,2.7905e-05,2.7905e-05,2.7905e-05
66,42.474,0.80359,1.52667,1.21528,0.97448,0.38709,0.42697,0.31347,1.77738,2.42783,1.53858,2.75753e-05,2.75753e-05,2.75753e-05
67,42.9656,0.6213,0.82067,1.22349,0.97448,0.38709,0.42697,0.31347,1.77738,2.42783,1.53858,2.7222e-05,2.7222e-05,2.7222e-05
68,43.4532,0.98336,1.23675,1.50246,0.97448,0.38709,0.42697,0.31347,1.77738,2.42783,1.53858,2.68451e-05,2.68451e-05,2.68451e-05
69,43.9644,0.74327,0.97727,1.14692,0.97747,0.38818,0.4293,0.31928,1.77124,2.43038,1.53488,2.64447e-05,2.64447e-05,2.64447e-05
70,44.44,0.90856,0.8223,1.4033,0.97747,0.38818,0.4293,0.31928,1.77124,2.43038,1.53488,2.60207e-05,2.60207e-05,2.60207e-05
71,44.9158,0.4566,1.04321,1.10065,0.97747,0.38818,0.4293,0.31928,1.77124,2.43038,1.53488,2.55731e-05,2.55731e-05,2.55731e-05
72,45.4147,0.64434,0.61712,1.20119,0.97947,0.38706,0.42825,0.31868,1.76211,2.44514,1.52171,2.5102e-05,2.5102e-05,2.5102e-05
73,45.8888,0.69824,0.91221,1.18229,0.97947,0.38706,0.42825,0.31868,1.76211,2.44514,1.52171,2.46073e-05,2.46073e-05,2.46073e-05
74,46.6315,0.6095,0.74722,1.15209,0.97947,0.38706,0.42825,0.31868,1.76211,2.44514,1.52171,2.40891e-05,2.40891e-05,2.40891e-05
75,47.4462,0.74176,0.76242,1.16435,0.98356,0.38855,0.42963,0.31741,1.75695,2.46495,1.51073,2.35472e-05,2.35472e-05,2.35472e-05
76,48.45,0.67002,0.74315,1.10001,0.98356,0.38855,0.42963,0.31741,1.75695,2.46495,1.51073,2.29819e-05,2.29819e-05,2.29819e-05
77,49.0648,0.66871,0.76541,1.10195,0.98356,0.38855,0.42963,0.31741,1.75695,2.46495,1.51073,2.23929e-05,2.23929e-05,2.23929e-05
78,49.7158,0.57331,0.74219,1.00054,0.97781,0.39063,0.4294,0.31688,1.76341,2.47549,1.51223,2.17805e-05,2.17805e-05,2.17805e-05
79,50.1885,0.652,0.69118,1.06164,0.97781,0.39063,0.4294,0.31688,1.76341,2.47549,1.51223,2.11444e-05,2.11444e-05,2.11444e-05
80,50.6702,0.55713,0.76552,1.04288,0.97781,0.39063,0.4294,0.31688,1.76341,2.47549,1.51223,2.04848e-05,2.04848e-05,2.04848e-05
81,51.183,0.76745,0.88832,1.10738,0.97031,0.39315,0.42963,0.3135,1.78613,2.48575,1.53591,1.98016e-05,1.98016e-05,1.98016e-05
82,51.6722,0.56369,0.80462,1.10232,0.97031,0.39315,0.42963,0.3135,1.78613,2.48575,1.53591,1.90949e-05,1.90949e-05,1.90949e-05
83,52.1982,0.90586,1.15051,1.3962,0.97031,0.39315,0.42963,0.3135,1.78613,2.48575,1.53591,1.83646e-05,1.83646e-05,1.83646e-05
84,52.7078,0.63731,0.67155,1.08307,0.96194,0.39742,0.4303,0.29137,1.77384,2.47111,1.5152,1.76107e-05,1.76107e-05,1.76107e-05
85,53.204,0.70176,0.75804,1.12847,0.96194,0.39742,0.4303,0.29137,1.77384,2.47111,1.5152,1.68333e-05,1.68333e-05,1.68333e-05
86,53.6689,0.6918,0.63562,1.20626,0.96194,0.39742,0.4303,0.29137,1.77384,2.47111,1.5152,1.60323e-05,1.60323e-05,1.60323e-05
87,54.1515,0.63437,0.69383,1.10723,0.96194,0.39742,0.4303,0.29137,1.77384,2.47111,1.5152,1.52077e-05,1.52077e-05,1.52077e-05
88,54.6471,0.95202,0.79658,1.33509,0.95222,0.4,0.43032,0.3077,1.76655,2.4292,1.50135,1.43596e-05,1.43596e-05,1.43596e-05
89,55.1081,0.65549,0.68037,1.11918,0.95222,0.4,0.43032,0.3077,1.76655,2.4292,1.50135,1.34879e-05,1.34879e-05,1.34879e-05
90,55.5898,0.73134,0.79097,1.11631,0.95222,0.4,0.43032,0.3077,1.76655,2.4292,1.50135,1.25927e-05,1.25927e-05,1.25927e-05
91,62.016,0.6512,0.58234,0.97769,0.95222,0.4,0.43032,0.3077,1.76655,2.4292,1.50135,1.16739e-05,1.16739e-05,1.16739e-05
92,62.5519,0.53543,0.49039,0.99425,0.94598,0.39952,0.43112,0.30818,1.75442,2.41417,1.49461,1.07315e-05,1.07315e-05,1.07315e-05
93,63.0575,0.58402,0.56641,1.10467,0.94598,0.39952,0.43112,0.30818,1.75442,2.41417,1.49461,9.76562e-06,9.76562e-06,9.76562e-06
94,63.5538,0.52773,0.53346,0.9372,0.94598,0.39952,0.43112,0.30818,1.75442,2.41417,1.49461,8.77613e-06,8.77613e-06,8.77613e-06
95,64.059,0.43979,0.47364,0.97854,0.94598,0.39952,0.43112,0.30818,1.75442,2.41417,1.49461,7.76308e-06,7.76308e-06,7.76308e-06
96,64.5796,0.52633,0.48999,1.03348,0.94877,0.39657,0.43182,0.31292,1.7593,2.44411,1.4894,6.72648e-06,6.72648e-06,6.72648e-06
97,65.0574,0.48697,0.57638,1.05122,0.94877,0.39657,0.43182,0.31292,1.7593,2.44411,1.4894,5.6663e-06,5.6663e-06,5.6663e-06
98,65.5419,0.47698,0.51066,0.96273,0.94877,0.39657,0.43182,0.31292,1.7593,2.44411,1.4894,4.58257e-06,4.58257e-06,4.58257e-06
99,66.0607,0.43991,0.51804,0.96795,0.94877,0.39657,0.43182,0.31292,1.7593,2.44411,1.4894,3.47528e-06,3.47528e-06,3.47528e-06
100,66.5702,0.51909,0.52837,0.84164,0.94463,0.39774,0.43242,0.30953,1.73235,2.41303,1.46986,2.34442e-06,2.34442e-06,2.34442e-06
