epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.2922,0.87905,1.50878,1.24394,0.80395,0.91046,0.97913,0.95503,0.24856,0.59055,0.82938,9.52e-06,9.52e-06,9.52e-06
2,16.6795,0.76445,1.26268,1.16501,0.83099,0.86603,0.94111,0.91893,0.27673,0.56647,0.83082,2.00297e-05,2.00297e-05,2.00297e-05
3,18.7058,0.7432,1.16118,1.13348,0.78741,0.86082,0.9196,0.88374,0.32508,0.58948,0.8392,3.03274e-05,3.03274e-05,3.03274e-05
4,20.6772,0.76909,1.0899,1.16408,0.68851,0.85945,0.90786,0.86706,0.36676,0.63515,0.85216,4.0413e-05,4.0413e-05,4.0413e-05
5,22.654,0.70816,1.02745,1.13765,0.80228,0.76824,0.9017,0.84727,0.35972,0.71926,0.85811,5.02865e-05,5.02865e-05,5.02865e-05
6,24.6705,0.69435,0.88639,1.09776,0.78202,0.76856,0.9022,0.83902,0.37,0.77894,0.86444,5.9948e-05,5.9948e-05,5.9948e-05
7,26.7274,0.68942,0.93535,1.10835,0.70396,0.78026,0.88863,0.83407,0.38524,0.85035,0.8706,6.93975e-05,6.93975e-05,6.93975e-05
8,30.1556,0.6636,0.87057,1.08164,0.76006,0.67942,0.8791,0.82272,0.40445,0.88506,0.87649,7.86348e-05,7.86348e-05,7.86348e-05
9,32.0819,0.64062,0.81639,1.04765,0.77408,0.65522,0.8791,0.81375,0.42324,1.04494,0.88661,8.76602e-05,8.76602e-05,8.76602e-05
10,33.9651,0.63044,0.77741,1.06232,0.77519,0.66095,0.87907,0.82103,0.45084,1.14428,0.9044,9.64734e-05,9.64734e-05,9.64734e-05
11,35.8537,0.61354,0.7666,1.05925,0.75442,0.68346,0.88533,0.80174,0.55032,1.42563,0.95015,0.000105075,0.000105075,0.000105075
12,37.7377,0.60209,0.76327,1.04701,0.69049,0.74951,0.86905,0.79128,0.70596,1.53621,1.00582,0.000106041,0.000106041,0.000106041
13,39.7388,0.6047,0.75368,1.02653,0.66098,0.77066,0.86596,0.76482,0.69909,1.5467,1.00138,0.000104863,0.000104863,0.000104863
14,41.7807,0.5942,0.67611,1.02816,0.62019,0.79458,0.87449,0.76681,0.63462,1.49767,0.97428,0.000103685,0.000103685,0.000103685
15,43.6455,0.61377,0.66817,1.04446,0.71314,0.69292,0.86545,0.75088,0.58183,1.4016,0.95564,0.000102507,0.000102507,0.000102507
16,45.5776,0.59438,0.67918,1.02885,0.75757,0.67936,0.84861,0.74192,0.51237,1.23394,0.92384,0.000101329,0.000101329,0.000101329
17,47.4617,0.57728,0.67722,1.02053,0.73745,0.68732,0.84716,0.76603,0.50536,1.17649,0.91644,0.00010015,0.00010015,0.00010015
18,49.3694,0.56589,0.6155,1.00279,0.72269,0.69585,0.85717,0.76373,0.4842,1.11141,0.90494,9.89723e-05,9.89723e-05,9.89723e-05
19,51.2649,0.58579,0.62559,1.00262,0.72456,0.65989,0.84662,0.75916,0.46813,1.10902,0.90612,9.77942e-05,9.77942e-05,9.77942e-05
20,53.1951,0.57372,0.68208,1.04076,0.61866,0.6855,0.84261,0.75441,0.45768,1.1293,0.90617,9.66161e-05,9.66161e-05,9.66161e-05
21,55.1195,0.60104,0.67601,1.04129,0.61585,0.69397,0.84973,0.75767,0.4729,1.18074,0.90924,9.5438e-05,9.5438e-05,9.5438e-05
22,58.0011,0.56906,0.61916,1.01736,0.62716,0.70395,0.8503,0.75159,0.47094,1.18756,0.9094,9.42599e-05,9.42599e-05,9.42599e-05
23,60.0645,0.57978,0.62593,1.03986,0.71611,0.65037,0.85241,0.74105,0.46984,1.19792,0.91082,9.30818e-05,9.30818e-05,9.30818e-05
24,62.1249,0.56422,0.57853,1.00847,0.7183,0.65212,0.83977,0.71521,0.45044,1.14745,0.89738,9.19037e-05,9.19037e-05,9.19037e-05
25,64.203,0.55376,0.60989,1.00369,0.69306,0.64657,0.84045,0.71185,0.43653,1.0863,0.88362,9.07256e-05,9.07256e-05,9.07256e-05
26,66.1285,0.55264,0.60008,0.99843,0.66712,0.69987,0.86009,0.71862,0.42725,1.07152,0.87719,8.95475e-05,8.95475e-05,8.95475e-05
27,68.2027,0.54286,0.57824,0.99922,0.67941,0.68681,0.86894,0.72665,0.42698,1.05494,0.87752,8.83694e-05,8.83694e-05,8.83694e-05
28,70.2668,0.56731,0.59268,1.01992,0.72247,0.65485,0.85307,0.68467,0.45199,1.13395,0.89089,8.71913e-05,8.71913e-05,8.71913e-05
29,72.3199,0.55364,0.57804,0.99431,0.73246,0.67627,0.82254,0.6497,0.46912,1.15569,0.89637,8.60132e-05,8.60132e-05,8.60132e-05
30,74.6202,0.53344,0.57746,0.98839,0.71804,0.71723,0.82469,0.64613,0.47561,1.17236,0.90045,8.48351e-05,8.48351e-05,8.48351e-05
31,76.5897,0.54025,0.58829,1.01986,0.73961,0.69369,0.82142,0.67895,0.46433,1.12453,0.89642,8.3657e-05,8.3657e-05,8.3657e-05
32,78.4793,0.53796,0.57304,1.00216,0.67598,0.6768,0.84292,0.70149,0.46063,1.16107,0.89653,8.24789e-05,8.24789e-05,8.24789e-05
33,80.3364,0.5061,0.54129,0.96614,0.66905,0.671,0.83222,0.69436,0.45585,1.20537,0.89774,8.13008e-05,8.13008e-05,8.13008e-05
34,82.2395,0.49755,0.54799,0.9754,0.67679,0.6623,0.80853,0.67503,0.45507,1.24459,0.90106,8.01227e-05,8.01227e-05,8.01227e-05
35,84.0837,0.53708,0.54021,0.98587,0.75688,0.64665,0.84291,0.70218,0.45268,1.21627,0.89925,7.89446e-05,7.89446e-05,7.89446e-05
36,85.9665,0.53445,0.51115,0.99998,0.7479,0.65599,0.83483,0.70029,0.46924,1.16998,0.90643,7.77665e-05,7.77665e-05,7.77665e-05
37,87.8345,0.52209,0.55281,0.97199,0.73734,0.66101,0.83778,0.69843,0.48417,1.09121,0.91341,7.65884e-05,7.65884e-05,7.65884e-05
38,89.6964,0.5222,0.55579,1.01028,0.62847,0.72786,0.83953,0.69145,0.48711,1.08074,0.91627,7.54103e-05,7.54103e-05,7.54103e-05
39,91.5708,0.52608,0.51524,0.98991,0.63231,0.71883,0.84169,0.69746,0.48435,1.07737,0.91702,7.42322e-05,7.42322e-05,7.42322e-05
40,93.4487,0.49518,0.52998,0.97437,0.6311,0.70591,0.84283,0.70147,0.48944,1.12785,0.91854,7.30541e-05,7.30541e-05,7.30541e-05
41,95.3056,0.51239,0.53431,0.98718,0.62507,0.71637,0.84305,0.70555,0.48066,1.17208,0.90975,7.1876e-05,7.1876e-05,7.1876e-05
42,97.1611,0.52079,0.54297,0.99142,0.64979,0.77356,0.8482,0.71874,0.47768,1.16196,0.90777,7.06979e-05,7.06979e-05,7.06979e-05
43,99.0237,0.49452,0.50034,0.97961,0.60846,0.74657,0.81131,0.67883,0.48614,1.23092,0.91573,6.95198e-05,6.95198e-05,6.95198e-05
44,100.894,0.53793,0.54205,1.02417,0.61137,0.74703,0.81594,0.68052,0.4939,1.30055,0.92273,6.83417e-05,6.83417e-05,6.83417e-05
45,102.775,0.51755,0.50598,0.99502,0.61003,0.74261,0.81416,0.68119,0.50117,1.29534,0.92615,6.71636e-05,6.71636e-05,6.71636e-05
46,104.664,0.53844,0.55126,1.01584,0.59899,0.72307,0.80339,0.68032,0.5077,1.30907,0.93117,6.59855e-05,6.59855e-05,6.59855e-05
47,106.527,0.47746,0.49196,0.97227,0.59448,0.74855,0.8,0.66204,0.5204,1.32408,0.93443,6.48074e-05,6.48074e-05,6.48074e-05
48,108.404,0.50017,0.52064,0.99162,0.59876,0.75783,0.80725,0.67543,0.53956,1.26544,0.94134,6.36293e-05,6.36293e-05,6.36293e-05
49,110.243,0.50259,0.51997,0.97728,0.60017,0.76325,0.80652,0.67881,0.54971,1.30188,0.94564,6.24512e-05,6.24512e-05,6.24512e-05
50,112.112,0.47745,0.47568,0.95704,0.60575,0.75494,0.81062,0.68003,0.55166,1.28288,0.94533,6.12731e-05,6.12731e-05,6.12731e-05
51,113.997,0.48025,0.48019,0.9579,0.60678,0.7483,0.81084,0.68325,0.54027,1.29309,0.94444,6.0095e-05,6.0095e-05,6.0095e-05
52,117.861,0.46236,0.47391,0.95924,0.59994,0.74092,0.80527,0.6649,0.54397,1.31338,0.95296,5.89169e-05,5.89169e-05,5.89169e-05
53,119.726,0.47695,0.47236,0.97937,0.60257,0.78221,0.80567,0.66199,0.538,1.34249,0.95335,5.77388e-05,5.77388e-05,5.77388e-05
54,121.945,0.49852,0.49384,0.97844,0.60218,0.78687,0.81523,0.66851,0.54006,1.34177,0.95191,5.65607e-05,5.65607e-05,5.65607e-05
55,123.958,0.48645,0.50339,0.96653,0.61521,0.77635,0.81487,0.66762,0.53406,1.34208,0.94627,5.53826e-05,5.53826e-05,5.53826e-05
56,125.914,0.47775,0.51466,0.97137,0.62268,0.74407,0.81768,0.68021,0.53867,1.261,0.94654,5.42045e-05,5.42045e-05,5.42045e-05
57,127.854,0.47195,0.48041,0.96178,0.63266,0.74231,0.81725,0.68552,0.53339,1.25274,0.93778,5.30264e-05,5.30264e-05,5.30264e-05
58,129.873,0.47137,0.477,0.97026,0.63554,0.73278,0.81714,0.68282,0.53123,1.2704,0.93508,5.18483e-05,5.18483e-05,5.18483e-05
59,132.151,0.505,0.52293,1.00108,0.63575,0.7318,0.81749,0.68821,0.53396,1.27507,0.93876,5.06702e-05,5.06702e-05,5.06702e-05
60,134.41,0.49284,0.50501,0.98471,0.64792,0.76112,0.82108,0.67919,0.53405,1.2069,0.94172,4.94921e-05,4.94921e-05,4.94921e-05
61,136.777,0.48058,0.49032,0.98197,0.64643,0.75831,0.8282,0.68028,0.52121,1.18847,0.93832,4.8314e-05,4.8314e-05,4.8314e-05
62,138.926,0.4739,0.47548,0.95005,0.64723,0.75827,0.84835,0.69173,0.5205,1.1596,0.93762,4.71359e-05,4.71359e-05,4.71359e-05
63,140.899,0.50415,0.50759,0.98092,0.65855,0.77058,0.83836,0.67785,0.52062,1.16391,0.93556,4.59578e-05,4.59578e-05,4.59578e-05
64,142.996,0.47867,0.46985,0.96772,0.66691,0.77429,0.83512,0.67119,0.51566,1.1987,0.93069,4.47797e-05,4.47797e-05,4.47797e-05
65,145.208,0.47601,0.48748,0.99203,0.66195,0.78549,0.83022,0.66855,0.52686,1.2111,0.93599,4.36016e-05,4.36016e-05,4.36016e-05
66,147.266,0.46272,0.46367,0.97225,0.6323,0.80962,0.82387,0.66372,0.53833,1.25013,0.93872,4.24235e-05,4.24235e-05,4.24235e-05
67,149.376,0.48007,0.454,0.97035,0.62003,0.79572,0.82987,0.67428,0.53366,1.29114,0.93842,4.12454e-05,4.12454e-05,4.12454e-05
68,151.48,0.44804,0.4471,0.93966,0.63382,0.8001,0.8365,0.671,0.51498,1.29458,0.93116,4.00673e-05,4.00673e-05,4.00673e-05
69,153.48,0.44582,0.45585,0.9389,0.61674,0.7872,0.83046,0.68206,0.50338,1.31556,0.92883,3.88892e-05,3.88892e-05,3.88892e-05
70,155.377,0.4697,0.45052,0.95507,0.58678,0.79217,0.82294,0.67819,0.49398,1.34055,0.92445,3.77111e-05,3.77111e-05,3.77111e-05
71,157.284,0.46543,0.45168,0.96067,0.57144,0.7639,0.82137,0.67286,0.48436,1.35776,0.92122,3.6533e-05,3.6533e-05,3.6533e-05
72,159.231,0.47639,0.45895,0.98234,0.61366,0.72663,0.82234,0.67229,0.48967,1.37273,0.92729,3.53549e-05,3.53549e-05,3.53549e-05
73,161.117,0.43809,0.45289,0.94244,0.61874,0.71966,0.81629,0.67193,0.48607,1.37025,0.92794,3.41768e-05,3.41768e-05,3.41768e-05
74,163.005,0.44366,0.42067,0.94474,0.65633,0.72035,0.81517,0.67031,0.48966,1.36764,0.92997,3.29987e-05,3.29987e-05,3.29987e-05
75,164.889,0.45009,0.43473,0.96266,0.68149,0.71148,0.80685,0.66037,0.50247,1.3916,0.93937,3.18206e-05,3.18206e-05,3.18206e-05
76,166.829,0.44547,0.42991,0.95462,0.63432,0.71923,0.80732,0.67178,0.50416,1.38305,0.93734,3.06425e-05,3.06425e-05,3.06425e-05
77,168.76,0.44854,0.43282,0.95799,0.6349,0.71827,0.80645,0.67291,0.49932,1.34602,0.93359,2.94644e-05,2.94644e-05,2.94644e-05
